,index,LoanAmount,City,State,Zip,NAICSCode,BusinessType,RaceEthnicity,Gender,Veteran,NonProfit,JobsRetained,DateApproved,Lender,CD
171,5895,,COLLINSVILLE,,,,,,,,,,,,
172,5937,,VERNON,,,,,,,,,,,,
173,5960,,,,,722110.0,,,,,,,,,
174,5985,,VERNON,,,,,,,,,,,,
175,6042,,MANSFIELD,,,,,,,,,,,,
176,6069,,VERNON,,,,,,,,,,,,
177,6096,,BRANFORD,,,,,,,,,,,,
178,6201,,NIANTIC,,,,,,,,,,,,
179,6208,,MANCHESTER,,,,,,,,,,,,
180,6228,,ROWAYTON,,,,,,,,,,,,
181,6304,,VERNON,,,,,,,,,,,,
182,6355,,BARKHAMSTED,,,,,,,,,,,,
183,6378,,N.FRANKLIN,,,,,,,,,,,,
184,6413,,W HAVEN,,,,,,,,,,,,
185,6424,,NEW HAVEN,,,,,,,,,,,,
186,6457,,LYME,,,,,,,,,,,,
187,6462,,MANSFIELD,,,,,,,,,,,,
188,6464,,,,,722211.0,,,,,,,,,
189,6471,,SOUTH RYEGATE,,,,,,,,,,,,
190,6487,,KENSINGTON,,,,,,,,,,,,
191,6539,,MILFORD,,,,,,,,,,,,
192,6544,,,,,532299.0,,,,,,,,,
193,6549,,,,,322233.0,,,,,,,,,
194,6561,,,,,517910.0,,,,,,,,,
195,6611,,VERNON,,,,,,,,,,,,
196,6731,,,,,,,,,,,,,Citizens Bank,
197,6794,,NEW BRITIAN,,,,,,,,,,,,
198,6835,,NEWINGTON,,,,,,,,,,,,
199,6849,,UNION,,,,,,,,,,,,
200,6912,,KENSINGTON,,,,,,,,,,,,
201,6927,,EAST HAVEN,,,,,,,,,,,,
202,6970,,STRATFORD,,,,,,,,,,,,
203,6977,,NEWHAVEN,,,,,,,,,,,,
204,6989,,06511,,,,,,,,,,,,
205,7015,,,,,,,,,,,,,,CT -
206,7032,,,,,,,,,,,,,PeoplesBank,
207,7035,,KENSINGTON,,,,,,,,,,,,
208,7054,,,,,333298.0,,,,,,,,,
209,7076,,COLLINSVILLE,,,,,,,,,,,,
210,7125,,NEW HAVEN,,,,,,,,,,,,
211,7137,,,,,,,,,,,,,PeoplesBank,
212,7181,,,,,452990.0,,,,,,,,,
213,7189,,,,,722110.0,,,,,,,,,
214,7193,,CT,,,,,,,,,,,,
215,7243,,BRIDGEPORT,,,,,,,,,,,,
216,7255,,NEW BRITIAN,,,,,,,,,,,,
217,7317,,,,,722110.0,,,,,,,,,
218,7345,,,,,,,,,,,,,PeoplesBank,
219,7382,,,,,,,,,,,,,,CT -
220,7388,,BETHEL,,,,,,,,,,,,
221,7391,,,,,,,,,,,,,PeoplesBank,
222,7452,,,,,,,,,,,,,PeoplesBank,
223,7512,,RIVERSDIE,,,,,,,,,,,,
224,7522,,VERNON,,,,,,,,,,,,
225,7545,,LYME,,,,,,,,,,,,
226,7584,,,,,452990.0,,,,,,,,,
227,7602,,NEWTON,,,,,,,,,,,,
228,7622,,,,,722110.0,,,,,,,,,
229,7630,,WHITNEYVILLE,,,,,,,,,,,,
230,7668,,,,,,,,,,,,,PeoplesBank,
231,7778,,,,,,,,,,,,,,CT -
232,7780,,FORESTVILLE,,,,,,,,,,,,
233,7818,,CT,,,,,,,,,,,,
234,7846,,,,,,,,,,,,,,CT -
235,7857,,GOSHEN,,,,,,,,,,,,
